CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
284,Burlington GIS Dataset and Air Photos - DTM,"Polylines and Elevation points. Polylines are all in one layer and encompass building outlines, streets, curbs, etc. arenas, tennis courts, vacant lands, ward",,,"Restricted to U of T faculty, staff, and students.",City of Burlington,,2005,BURLINGTON,ADDRESSES; AIR PHOTOS; AIR PHOTOS - COLOUR; BOUNDARIES - POLITICAL; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; BUILDINGS - POINTS; DIGITAL TERRAIN MODEL; EDUCATION; FIRE; GOLF COURSES; HEALTH; HYDROGRAPHY; LIBRARIES; POLICE; RECREATION; ROADS; SPOT HEIGHTS; ZONING,,,,City of Burlington,,Raster; Vector,,2005,,Burlington Ontario,,City of Burlington,Citation,None,,2005
285,Burlington GIS Dataset and Air Photos - 2005 MrSid,"Polylines and Elevation points. Polylines are all in one layer and encompass building outlines, streets, curbs, etc. arenas, tennis courts, vacant lands, ward",,,"Restricted to U of T faculty, staff, and students.",City of Burlington,,2005,BURLINGTON,ADDRESSES; AIR PHOTOS; AIR PHOTOS - COLOUR; BOUNDARIES - POLITICAL; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; BUILDINGS - POINTS; DIGITAL TERRAIN MODEL; EDUCATION; FIRE; GOLF COURSES; HEALTH; HYDROGRAPHY; LIBRARIES; POLICE; RECREATION; ROADS; SPOT HEIGHTS; ZONING,,,,City of Burlington,,Raster; Vector,,2005,,Burlington Ontario,,City of Burlington,Citation,None,,2005
286,Former City of Toronto Zoning By-laws Office Consolidations - 2007,,,,"Restricted to U of T faculty, staff, and students.",City of Toronto City Planning Department,,2007,TORONTO,STREETS; ZONING,,,,City of Toronto,,Vector,,"2007, 2012",,,,,Citation,None,,2007 to 2012
287,Remote Sensing in Archaeology,"eleven archaeologists reveal how the broad application of remote sensing, and especially geophysical techniques, is altering the usual conduct of dirt archaeology. Using case studies that both succeeded and failed, they offer a comprehensive guide to remote sensing techniques on archaeological sites throughout North America. Because this new technology is advancing on a daily basis, the book is accompanied by a CD intended for periodic update that provides additional data and illustrations.",,,"Restricted to U of T faculty, staff, and students.","Johnson, Jay K.",,2006,NORTH AMERICA (INCLUSIVE),ANTIQUITIES; ARCHAEOLOGY; HISTORICAL; REMOTE SENSING,,,,University of Alabama,,Vector,,2006,,"Tuscaloosa, Alabama",,University of Alabama Press for Archaeological Research,None,None,,2006
288,GIS for the Urban Environment,"GIS for the Urban Environment focuses on the use of GIS in urban planning and problem solving, and is aimed at both large and small cities and metropolitan areas. It will be of interest to all students and practitioners who want to learn more about how they might apply GIS to their daily practices, be they in urban planning, public health, urban environmental assessment, hazard and emergency management, geographical analysis, or sustainable community development.",,,"Restricted to U of T faculty, staff, and students.","Maantay, Julian and J. Ziegler",,2006,,CITIES; GEOGRAPHIC INFORMATION SYSTEMS; TOWNS,,,,ESRI Press,,Raster; Vector,,2006,,"Redlands, California",,ESRI Press,None,None,,
289,Goad FIP - Vol. 4-12,,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
290,"Goad FIP - Vol. 7, 8",,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
291,Atlante Geografico Multimediale d'Italia,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/mi8gb7/alma991106632693706196,,Unknown,,,,,,,,,,,,,,,,,,,,
292,Geological Atlas of Africa - 2006,"Here is the new edition of the first attempt to summarize the geology of Africa by presenting it in an atlas and to synthesize the stratigraphy, tectonics, economic geology, geohazards and geosites of each country and territory of the continent. Furthermore, the digitized geological maps are correlated and harmonized according to the current stratigraphic timetable. The atlas aims to contribute to capacity building in African Earth Sciences and to aid the initiation of research and enable the achievement of economic opportunities by providing a database of basic geological background information.",See also CD # 322,,"Restricted to U of T faculty, staff, and students.","Schluter, Thomas",,2006,AFRICA,DATA SOURCES; ECOLOGY; GEOLOGY; MAPS,,,,Springer,,Vector,,2006,,New York,,Springer Berlin Heidelberg,None,None,,2006
293,Burlington GIS Dataset and Air Photos - Features,"Polylines and Elevation points. Polylines are all in one layer and encompass building outlines, streets, curbs, etc. arenas, tennis courts, vacant lands, ward",,,"Restricted to U of T faculty, staff, and students.",City of Burlington,,2005,BURLINGTON,ADDRESSES; AIR PHOTOS; AIR PHOTOS - COLOUR; BOUNDARIES - POLITICAL; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; BUILDINGS - POINTS; DIGITAL TERRAIN MODEL; EDUCATION; FIRE; GOLF COURSES; HEALTH; HYDROGRAPHY; LIBRARIES; POLICE; RECREATION; ROADS; SPOT HEIGHTS; ZONING,,,,City of Burlington,,Raster; Vector,,2005,,Burlington Ontario,,City of Burlington,Citation,None,,2005
294,Goad FIP- FIP Scans 1,,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
295,Land Cover Classification System Classification Concepts and User Manual,"This Land Cover Classification System was developed by FAO and UNEP, it enables the comparison of land cover classes regardless of map scale, land cover type, data collection method or geographic location. It is the only universally accepted classification system in use and is an important tool in global mapping.",,,"Restricted to U of T faculty, staff, and students.","Di Gregorio, Antonio",,2005,WORLD (ENTITY),LAND COVER; LAND USE; THEMATIC MAPPING,2005,,"Di Gregorio, Antonio",FAO,,Vector,,,,Rome,,Food and Agriculture Organization of the United Nations,None,None,,2005
296,Atlas of Antarctica,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/mi8gb7/alma991106073542406196,,"Hertzfield, Christina",,,,,,,,,,,,,,,,,,,,
297,Teranet - Ontario Parcel Data - York Update 2007,"To request access, if you are a current U of T student, staff, or faculty, please contact us.

Contains:
1) Basic property report correlating the ownership PIN to the assessment roll number.2)Digital property ownership parcel polygons, attributed with the 9-digit PIN, comprising the area of the regions in shapefile format.York data are from september 2007.",,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2007,DURHAM COUNTY; FRONTENAC COUNTY; HALTON COUNTY; HASTINGS COUNTY; LENNOX ADDINGTON COUNTY; NORTHUMBERLAND COUNTY; ONTARIO; PEEL COUNTY; SIMCOE COUNTY; TORONTO; VICTORIA COUNTY; YORK COUNTY,LAND USE; PARCELS; PROPERTY BOUNDARIES,,,,Teranet,,Vector,,2007,,Toronto,,Teranet,Citation,None,,2007
298,Population Atlas of Slovakia,"Population atlas of Slovakia is the scientific analysis and cartographic interpretation of the demographic situation in Slovakia. It represents the first comprehensive processing of complete fundamental information on development, distribution, housing, dynamic and prognoses of the population in Slovakia. The set of maps represents the work at a high scientific, informative and cultural value",,,"Restricted to U of T faculty, staff, and students.",Comenius University,,2006,SLOVAKIA,DATA SOURCES; MAPS; POPULATION,,,,Comenius University,,Vector,,2006,,Bratislava,,,None,None,,2006
299,2003 Toronto Air Photos (Orthorectified) - 1,,Disc 1 of 3,,"Restricted to U of T faculty, staff, and students.","City of Toronto, Works and Emergency Services",,2003 Jan 1st,TORONTO,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED,,,,City of Toronto,,Raster,,,,Toronto,,"City of Toronto, Works and Emergency Services",Citation,None,,2003
300,2003 Toronto Air Photos (Orthorectified) - 2,,Disc 2 of 3,,"Restricted to U of T faculty, staff, and students.","City of Toronto, Works and Emergency Services",,2003 Jan 1st,TORONTO,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED,,,,City of Toronto,,Raster,,,,Toronto,,"City of Toronto, Works and Emergency Services",Citation,None,,2003
301,2003 Toronto Air Photos (Orthorectified) - 3,,Disc 3 of 3,,"Restricted to U of T faculty, staff, and students.","City of Toronto, Works and Emergency Services",,2003 Jan 1st,TORONTO,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED,,,,City of Toronto,,Raster,,,,Toronto,,"City of Toronto, Works and Emergency Services",Citation,None,,2003
302,Biodiversity Characterisation at Landscape Level in Western Ghats India using Satellite Remote Sensing and GIS,"This project is a pioneering effort to create geo-spatial database on vegetation cover types, disturbance regimes and biological richness. The spatial data have also been linked with the species database of Botanical Survey of India-Red Data Book and field sample data laid down in the different strata of vegetation. Attempts have also been made to overlay Botanical Survey of India-Red Data Book-species locations (as indicated habitats) on the maps generated in the present study.",Call number: QH541.15 .R4 B56 2002,,"Restricted to U of T faculty, staff, and students.","Indian Institute of Remote Sensing, Dept. of Space, Govt. of India",,2002,INDIA,ENVIRONMENT; GEOGRAPHIC INFORMATION SYSTEMS; REMOTE SENSING; VEGETATION,2002,,"Indian Institute of Remote Sensing, Dept. of Space, Govt. of India",Indian Institute of Remote Sensing,,Raster; Vector,,2002,http://www.dbtindia.nic.in/r&amp;d/bioprosmoltax.html,Dehradun,,Shiva Offset Press,None,None,,2002
303,Climate Atlas of the Atlantic Ocean Derived from the Comprehensive Ocean Atmospheric Data Set (COADS),"The area covered is the Atlantic Ocean, including the South Atlantic. The book contains 428 plates, 19 figures, and 2 tables pertaining to different aspects of oceanic temperature and atmosphere. Comes with a supplemental CD-ROM.",,,"Restricted to U of T faculty, staff, and students.","Lindau, Ralf.",,2000,ATLANTIC OCEAN,CLIMATE; OCEANOGRAPHY; TEMPERATURES,,,,Verlag,,Vector,,2000,,,,Springer Verlag,None,None,,2000
304,Exploring the urban community: a GIS approach,,Contains files to complete tutorial,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106111043006196,,"Greene, Richard P.",,,,,,,,,,,,,,,,,,,,
305,City of Brampton GIS Datasets and Air photos - 2007 Orthos,,"Orthos on CD, shapefiles online",,"Restricted to U of T faculty, staff, and students.",City of Brampton,,2007,BRAMPTON,AIR PHOTOS; AIR PHOTOS - COLOUR; BOUNDARIES; BUILDING OUTLINES; DRIVEWAYS; HYDROLOGY; PARKING; RAIL TRANSIT; RAILROADS; ROADS; SIDEWALKS; UTILITIES,,,,,,SHAPEFILE,,,,,,City of Brampton,None,None,,2007
306,City of Brampton GIS Datasets and Air photos - GIS files,,,,"Restricted to U of T faculty, staff, and students.",City of Brampton,,2007,BRAMPTON,AIR PHOTOS; AIR PHOTOS - COLOUR; BOUNDARIES; BUILDING OUTLINES; DRIVEWAYS; HYDROLOGY; PARKING; RAIL TRANSIT; RAILROADS; ROADS; SIDEWALKS; UTILITIES,,,,,,SHAPEFILE,,,,,,City of Brampton,None,None,,2007
307,City of Mississauga GIS Datasets and Air photos - 2008,"February 2008 update includes Landuse (land use) and zoning. March 2008 update includes Storm Sewer Network.

",See also CD # 307a,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2007,MISSISSAUGA,ADDRESSES; AIR PHOTOS; AIR PHOTOS - COLOUR; BUILDING OUTLINES; BUILDINGS; BUILDINGS - FOOTPRINTS; CONTOURS; CULTURAL; DIGITAL ELEVATION MODEL; DIGITAL TERRAIN MODEL; ELEVATION; LAND USE; LANDMARKS; PARKING; PLANIMETRIC; POINTS OF INTEREST; RECREATION; ROADS; SIDEWALKS; TRIANGULATED SURFACES; UTILITIES; VEGETATION,2007,,City of Mississauga,City of Mississauga,2008,Raster; Vector,,,,,UTM,City of Mississauga,None,None,,2007 to 2008
307a,City of Mississauga GIS Datasets and Air photos - 2008 - Update,February 2008 update includes Landuse (land use) and zoning. March 2008 update includes Storm Sewer Network.,See also CD # 307,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2007,MISSISSAUGA,ADDRESSES; AIR PHOTOS; AIR PHOTOS - COLOUR; BUILDING OUTLINES; BUILDINGS; BUILDINGS - FOOTPRINTS; CONTOURS; CULTURAL; DIGITAL ELEVATION MODEL; DIGITAL TERRAIN MODEL; ELEVATION; LAND USE; LANDMARKS; PARKING; PLANIMETRIC; POINTS OF INTEREST; RECREATION; ROADS; SIDEWALKS; TRIANGULATED SURFACES; UTILITIES; VEGETATION,,,,City of Mississauga,,Raster; Vector,,,,,,City of Mississauga,None,None,,2007 to 2008
308,China Digital Maps,"Other layers not described also include:Danger points; Sand; Mudflat; Provinces; Prefectures; Counties; 2, 3, and 4 digit postal codes; extraction areas and points, Great Wall of China, dams; islands",,,"Restricted to U of T faculty, staff, and students.",GfK GeoMarketing,,2004,CHINA,AIRPORTS; BOUNDARIES; BOUNDARIES - POLITICAL; CITIES; COAST; ELEVATION; FLOODING; HIGHWAYS; HISTORICAL; HYDROGRAPHY; ICE; INDUSTRIAL; INDUSTRY; INFRASTRUCTURE; LAKES; PIPELINES; PLACENAMES; POSTAL GEOGRAPHY; RAILROADS; ROADS; SNOW,2004,,GfK GeoMarketing,GfK GeoMarketing,,SHAPEFILE,,,,Germany,Geographic,GfK GeoMarketing,Citation,None,,2004
309,Thailand Digital Maps,"Boundaries include: districts (Amphe,Khat); provinces (Changwats); and regions.",,,"Restricted to U of T faculty, staff, and students.",GfK GeoMarketing,,1996,THAILAND,BOUNDARIES; BOUNDARIES - POLITICAL; CITIES; LAKES; RIVERS; ROADS,1996,,GfK GeoMarketing,GfK GeoMarketing,2004,Vector,,,,Germany,Geographic,GfK GeoMarketing,None,None,,1996 to 2004
310,Historical Air Photos Oshawa and Surrounding Area,"Scanned aerial photos in jpeg, geo-tiff format. Hard copy aerial photos also available.

1965: 1"" to 500'
1969: 1"" to 1000'
1972: 1"" to 1714'",,,"Restricted to U of T faculty, staff, and students.",Unknown,,1965,DURHAM COUNTY; OSHAWA,AIR PHOTOS - BLACK AND WHITE; HISTORICAL,1965,,,,1972,Raster,,,,,,Ontario Ministry of Natural Resources,Citation,None,various,1965 to 1972
311,Topographic Layers Greater Toronto Area,"Data contains Breaklines (which include road / street widths), contours at 1 metre intervals and 2 metre intervals, and a (triangulated irregular network (TIN) model, and DTM points. Toronto contours.",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Natural Resources (OMNR),,2002,TORONTO,DIGITAL ELEVATION MODEL; DIGITAL TERRAIN MODEL; ELEVATION; REMOTE SENSING; ROADS; STREETS; TOPOGRAPHY; TRIANGULATED IRREGULAR NETWORK (TIN),2002,,Ontario Ministry of Natural Resources (OMNR),,,SHAPEFILE,NAD 83,,,Peterborough,UTM Zone 17,Ontario Ministry of Natural Resources (OMNR),Citation,None,,2002
